Crop year,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19
Angola,50,79,78,33,77,62,71,64,85,55,50,21,57,38,15,25,35,36,38,13,35,29,33,35,39,41,45,35,40
Bolivia (Plurinational State of),123,104,120,51,117,142,125,141,138,158,148,94,127,103,155,110,146,116,120,128,117,132,105,120,100,84,78,84,83
Brazil,"27,286","27,293","34,603","28,167","28,192","18,060","29,197","26,148","36,761","47,578","31,310","31,365","48,352","28,873","39,281","32,933","48,432","38,911","51,491","43,977","55,428","48,592","55,418","54,689","53,305","52,871","56,788","52,740","62,925"
Burundi,487,667,620,393,664,434,401,250,492,351,487,144,454,338,437,103,499,133,412,112,353,204,406,163,248,274,249,202,178
Ecuador,"1,504","2,124","1,185","2,069","2,376","1,888","1,993","1,191","1,206","1,198",854,793,582,641,780,935,"1,035",950,771,813,854,825,828,666,644,644,645,624,601
Indonesia,"7,441","8,493","5,569","6,743","5,368","4,573","8,221","7,621","7,296","6,557","6,987","6,833","6,731","6,404","7,536","9,159","7,483","7,777","9,612","11,380","9,129","6,889","13,070","12,901","10,946","12,585","11,541","10,852","9,418"
Madagascar,982,933,"1,122",442,641,785,849,624,992,427,362,147,445,435,522,599,587,614,728,457,530,585,500,584,501,425,421,409,396
Malawi,105,124,137,62,84,91,49,61,64,59,63,60,42,48,21,24,17,19,21,17,17,26,23,28,25,21,20,14,13
Papua New Guinea,963,747,900,"1,019","1,139","1,002","1,089","1,074","1,352","1,387","1,041","1,063","1,085","1,155",998,"1,268",807,968,"1,028","1,038",867,"1,414",716,835,798,712,"1,171",734,930
Paraguay,131,80,54,70,25,23,26,23,58,20,42,20,26,52,26,45,26,39,20,20,20,20,20,20,20,20,20,20,20
Peru,937,"1,200","1,762",665,"1,179","1,871","1,806","1,930","2,102","2,744","2,676","2,829","3,000","2,686","3,425","2,489","4,319","3,063","3,872","3,286","4,069","5,373","4,450","4,106","2,883","3,304","4,223","4,279","4,263"
Rwanda,535,484,639,444,22,329,293,193,223,307,273,296,320,266,450,337,351,224,369,259,323,251,259,258,238,293,231,254,268
Timor-Leste,0,0,0,0,0,0,0,0,0,0,7,33,37,42,17,24,46,36,48,47,60,47,61,80,111,59,82,65,139
Zimbabwe,252,201,78,12,106,131,174,130,149,125,109,121,110,92,120,66,45,31,24,21,10,9,7,9,15,14,15,7,9
Congo,3,3,3,3,8,12,14,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Cuba,414,302,284,285,284,285,366,300,280,328,312,285,239,224,180,100,105,110,133,92,108,100,88,107,101,100,103,113,118
Dominican Republic,880,321,638,604,730,886,519,941,487,607,467,387,455,351,491,310,387,465,645,352,378,491,488,425,397,400,412,412,431
Haiti,393,463,500,451,450,514,428,432,439,399,420,403,374,374,365,356,362,359,359,351,350,349,350,345,343,341,342,342,347
Philippines,974,"1,018",920,875,877,850,890,935,677,622,341,263,255,293,355,432,441,446,587,730,189,180,177,186,193,208,215,203,206
Tanzania,932,790,786,734,679,897,764,624,739,842,809,624,824,612,763,804,822,810,"1,186",675,846,641,"1,151",811,753,930,846,783,"1,175"
Zambia,23,29,29,27,21,26,33,38,62,59,93,100,119,100,110,103,56,61,35,28,13,11,5,11,3,4,13,19,20
Benin,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,"1,682","1,726",260,683,406,660,"1,432",889,"1,114","1,370","1,113",686,801,900,727,870,818,795,725,902,527,669,371,404,483,391,292,370,270
Central African Republic,175,125,134,166,250,108,208,114,215,241,113,68,92,43,29,23,114,43,60,112,78,91,23,90,63,100,37,60,58
Colombia,"14,396","17,980","14,947","11,422","12,964","12,938","10,779","12,122","10,868","9,512","10,519","11,950","11,712","11,053","11,429","11,952","12,164","12,515","8,664","8,098","8,523","7,653","9,927","12,124","13,333","14,009","14,634","13,824","13,858"
Costa Rica,"2,562","2,760","2,998","2,359","2,482","2,844","2,222","2,617","2,445","2,485","2,419","2,247","2,043","1,886","1,876","1,653","1,706","1,797","1,500","1,477","1,614","1,831","1,823","1,552","1,475","1,440","1,372","1,561","1,427"
C̫te d'Ivoire,"2,940","4,129","2,246","2,293","3,006","2,532","4,859","4,164","1,992","6,320","4,846","3,596","3,010","2,981","2,136","2,099","2,848","1,338","2,526","1,989",837,"2,216","1,994","2,598","1,728","1,289",817,"1,474","2,294"
Democratic Republic of Congo,"1,580","1,230","1,180",980,"1,298","1,098",795,811,738,477,363,423,338,451,360,336,378,416,422,346,305,357,334,347,335,371,279,382,361
El Salvador,"2,465","2,198","3,001","2,378","2,293","2,585","2,534","2,175","2,055","2,598","1,704","1,694","1,361","1,380","1,197","1,319","1,234","1,505","1,450","1,075","1,873","1,164","1,240",515,665,565,610,760,761
Equatorial Guinea,4,3,2,0,3,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,"2,909","2,925","1,825","2,967","2,763","3,165","3,407","3,057","2,928","3,784","3,115","4,044","4,094","4,394","5,213","4,779","5,551","5,967","4,949","6,931","7,500","6,798","6,233","6,427","6,575","6,714","7,297","7,454","7,776"
Gabon,3,2,3,3,8,2,1,3,4,2,0,1,1,0,0,1,1,1,2,0,2,1,1,0,1,1,1,0,1
Ghana,38,76,37,45,57,57,32,27,54,89,76,7,34,18,18,12,20,35,26,19,69,30,21,25,35,36,26,13,15
Guatemala,"3,271","3,497","4,318","3,536","3,787","4,002","4,525","4,219","4,893","5,120","4,940","3,669","4,070","3,610","3,703","3,676","3,950","4,100","3,785","3,835","3,950","3,850","3,763","3,189","3,310","3,410","3,684","3,734","4,007"
Guinea,44,91,76,64,198,104,148,172,421,364,400,236,328,366,316,525,473,323,505,499,386,386,234,101,165,286,270,229,248
Guyana,0,0,0,0,0,0,0,0,6,5,3,5,5,5,6,7,8,9,10,9,9,10,10,13,9,11,10,10,10
Honduras,"1,568","2,322","1,918","1,829","2,181","1,909","2,004","2,564","2,195","2,985","2,667","3,036","2,496","2,968","2,575","3,204","3,461","3,640","3,450","3,603","4,331","5,882","4,686","4,583","5,268","5,786","7,457","7,560","7,328"
India,"2,829","3,000","2,823","3,533","3,002","4,012","3,417","4,109","4,417","4,867","5,020","4,810","4,588","4,708","4,591","4,566","4,500","4,367","4,072","4,827","5,600","5,334","5,403","5,075","5,450","5,830","6,161","5,813","5,302"
Jamaica,23,39,26,34,45,43,54,47,29,38,37,31,37,37,21,34,40,20,32,25,21,24,24,20,21,20,18,19,18
Kenya,"1,485","1,514","1,316","1,328","1,663","1,664","1,247",882,"1,173","1,502","1,002",991,945,673,736,660,826,652,541,630,641,757,875,843,770,799,793,790,930
Lao People's Democratic Republic,0,0,0,0,0,0,0,0,171,239,212,258,402,361,379,280,391,393,406,434,544,514,541,544,552,535,510,533,503
Liberia,3,3,3,5,5,5,5,5,18,12,12,12,12,5,6,5,7,7,12,13,10,10,10,6,7,10,12,16,7
Mexico,"4,674","4,727","3,401","5,023","4,159","5,300","5,110","4,802","4,801","6,219","4,815","4,438","4,351","4,201","3,867","4,225","4,200","4,150","4,651","4,109","4,001","4,561","4,327","3,916","3,636","2,772","3,635","4,485","4,351"
Nepal,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,3,2,1,1,2,2,1,2,1
Nicaragua,461,707,547,706,683,985,793,"1,084","1,073","1,554","1,572","1,079","1,170","1,509","1,068","1,432","1,428","1,906","1,445","1,871","1,638","2,193","1,873","2,060","1,898","2,130","2,555","2,617","2,510"
Nigeria,29,44,49,45,52,53,46,45,53,45,49,44,50,46,45,69,51,42,50,34,42,47,41,41,43,41,43,42,42
Panama,215,193,197,142,248,209,211,217,192,166,170,160,140,172,90,176,173,176,149,138,114,106,116,113,106,127,120,105,130
Sierra Leone,43,54,39,37,73,44,41,50,27,59,49,79,42,36,15,60,31,40,86,91,33,78,61,32,46,46,38,38,31
Sri Lanka,96,82,53,54,42,36,37,58,46,32,33,32,34,37,32,35,33,33,31,32,37,36,35,37,36,36,37,37,36
Thailand,757,"1,469","1,255","1,275","1,399","1,317","1,404","1,293",916,"1,273","1,692",715,732,827,884,"1,064",822,650,675,795,828,831,608,638,845,762,538,638,482
Togo,161,433,86,195,176,84,291,221,321,263,197,112,68,144,166,140,134,125,138,202,160,160,84,172,143,81,23,115,74
Trinidad & Tobago,15,18,14,16,18,18,18,19,17,17,16,16,17,16,15,15,12,12,11,11,10,11,12,12,12,12,12,12,12
Uganda,"1,955","2,088","2,185","3,142","2,393","3,244","3,419","3,440","3,386","2,862","3,401","3,158","2,890","2,599","2,613","2,175","2,894","3,490","3,335","2,894","3,267","3,115","3,914","3,633","3,744","3,650","4,962","4,597","4,704"
Venezuela,"1,122",941,"1,215","1,333",989,"1,467","1,206",951,"1,597","1,367","1,450","1,265","1,484","1,421","1,327","1,506","1,571","1,520",932,"1,214","1,202",902,952,804,650,500,525,572,525
Viet Nam,"1,310","1,438","2,340","3,020","3,632","3,970","5,752","6,979","7,052","11,631","14,841","13,093","11,574","15,337","14,370","13,842","19,340","16,405","18,438","17,825","20,000","26,500","23,402","27,610","26,500","28,737","25,540","27,888","31,174"
Yemen,0,0,0,0,0,0,0,0,69,61,64,62,57,193,206,203,207,198,220,135,161,185,188,187,178,156,143,132,106