,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest Rates selected indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source: International Financial Statistics (IFS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Metadata by Country (IFS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indicator,,,Scale,1990M01,1990M02,1990M03,1990M04,1990M05,1990M06,1990M07,1990M08,1990M09,1990M10,1990M11,1990M12,1991Q1,1991M01,1991M02,1991M03,1991M04,1991M05,1991M06,1991M07,1991M08,1991M09,1991M10,1991M11,1991M12,1992M01,1992M02,1992M03,1992M04,1992M05,1992M06,1992M07,1992M08,1992M09,1992M10,1992M11,1992M12,1993M01,1993M02,1993M03,1993M04,1993M05,1993M06,1993M07,1993M08,1993M09,1993M10,1993M11,1993M12,1994M01,1994M02,1994M03,1994M04,1994M05,1994M06,1994M07,1994M08,1994M09,1994M10,1994M11,1994M12,1995Q1,1995M01,1995M02,1995M03,1995Q2,1995M04,1995M05,1995M06,1995Q3,1995M07,1995M08,1995M09,1995Q4,1995M10,1995M11,1995M12,1996Q1,1996M01,1996M02,1996M03,1996M04,1996M05,1996M06,1996M07,1996M08,1996M09,1996M10,1996M11,1996M12,1997,1997M01,1997M02,1997M03,1997M04,1997M05,1997M06,1997M07,1997M08,1997M09,1997M10,1997M11,1997M12,1998M01,1998M02,1998M03,1998M04,1998M05,1998M06,1998M07,1998M08,1998M09,1998M10,1998M11,1998M12,1999M01,1999M02,1999M03,1999M04,1999M05,1999M06,1999M07,1999M08,1999M09,1999M10,1999M11,1999M12,2000M01,2000M02,2000M03,2000M04,2000M05,2000M06,2000M07,2000M08,2000M09,2000M10,2000M11,2000M12,2001M01,2001M02,2001M03,2001M04,2001M05,2001M06,2001M07,2001M08,2001M09,2001M10,2001M11,2001M12,2002M01,2002M02,2002M03,2002M04,2002M05,2002M06,2002M07,2002M08,2002M09,2002M10,2002M11,2002M12,2003Q1,2003M01,2003M02,2003M03,2003Q2,2003M04,2003M05,2003M06,2003Q3,2003M07,2003M08,2003M09,2003Q4,2003M10,2003M11,2003M12,2004M01,2004M02,2004M03,2004M04,2004M05,2004M06,2004M07,2004M08,2004M09,2004M10,2004M11,2004M12,2005M01,2005M02,2005M03,2005M04,2005M05,2005M06,2005M07,2005M08,2005M09,2005M10,2005M11,2005M12,2006M01,2006M02,2006M03,2006M04,2006M05,2006M06,2006M07,2006M08,2006M09,2006M10,2006M11,2006M12,2007M01,2007M02,2007M03,2007M04,2007M05,2007M06,2007M07,2007M08,2007M09,2007M10,2007M11,2007M12,2008M01,2008M02,2008M03,2008M04,2008M05,2008M06,2008M07,2008M08,2008M09,2008M10,2008M11,2008M12,2009M01,2009M02,2009M03,2009M04,2009M05,2009M06,2009M07,2009M08,2009M09,2009M10,2009M11,2009M12,2010M01,2010M02,2010M03,2010M04,2010M05,2010M06,2010M07,2010M08,2010M09,2010M10,2010M11,2010M12,2011M01,2011M02,2011M03,2011M04,2011M05,2011M06,2011M07,2011M08,2011M09,2011M10,2011M11,2011M12,2012M01,2012M02,2012M03,2012M04,2012M05,2012M06,2012M07,2012M08,2012M09,2012M10,2012M11,2012M12,2013M01,2013M02,2013M03,2013M04,2013M05,2013M06,2013M07,2013M08,2013M09,2013M10,2013M11,2013M12,2014,2014Q1,2014M01,2014M02,2014M03,2014Q2,2014M04,2014M05,2014M06,2014Q3,2014M07,2014M08,2014M09,2014Q4,2014M10,2014M11,2014M12,2015,2015Q1,2015M01,2015M02,2015M03,2015Q2,2015M04,2015M05,2015M06,2015Q3,2015M07,2015M08,2015M09,2015Q4,2015M10,2015M11,2015M12,2016,2016Q1,2016M01,2016M02,2016M03,2016Q2,2016M04,2016M05,2016M06,2016Q3,2016M07,2016M08,2016M09,2016Q4,2016M10,2016M11,2016M12,2017,2017Q1,2017M01,2017M02,2017M03,2017Q2,2017M04,2017M05,2017M06,2017Q3,2017M07,2017M08,2017M09,2017Q4,2017M10,2017M11,2017M12,2018,2018Q1,2018M01,2018M02,2018M03,2018Q2,2018M04,2018M05,2018M06,2018Q3,2018M07,2018M08,2018M09,2018Q4,2018M10,2018M11,2018M12,2019,2019Q1,2019M01,2019M02,2019M03,2019Q2,2019M04,2019M05,2019M06,2019Q3,2019M07,2019M08,2019M09,2019Q4,2019M10,2019M11,2019M12,2020,2020Q1,2020M01,2020M02,2020M03,2020Q2,2020M04,2020M05,2020M06,2020Q3,2020M07,2020M08,2020M09
,Central Bank Policy Rate,Percent per Annum,FPOLM_PA,Units,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,45.00,45.00,45.00,45.00,45.00,45.00,45.00,45.00,41.00,45.00,45.00,41.00,35.00,41.00,38.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,33.00,33.00,27.00,33.00,33.00,28.50,28.50,27.50,27.50,27.50,27.00,27.00,27.00,27.00,27.00,27.00,30.00,30.00,30.00,32.00,32.00,32.00,32.00,32.00,32.00,28.00,26.00,26.00,24.00,20.00,19.00,18.00,18.00,17.00,16.00,16.00,15.00,13.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,11.50,11.50,11.50,11.50,11.00,10.00,9.50,9.25,8.75,8.50,8.00,8.00,7.25,6.25,5.75,5.25,5.25,5.25,5.25,5.25,5.25,5.25,6.25,6.25,6.25,6.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.00,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.50,6.50,6.50,6.50,6.50,6.50,6.50,6.50,6.50,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.25,6.50,6.50,6.75,6.75,7.25,7.25,7.50,7.75,8.00,8.25,8.25,8.75,9.00,9.25,9.25,9.25,9.25,9.50,9.50,9.50,9.75,9.75,9.75,9.75,9.75,10.00,10.00,10.00,10.00,10.00,9.50,9.50,9.00,7.00,7.00,6.00,4.50,4.50,4.50,4.00,4.00,3.50,3.50,3.50,3.50,3.50,3.50,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.25,3.50,3.50,4.00,4.25,4.25,4.50,4.50,4.50,4.75,4.75,5.00,5.25,5.25,5.25,5.25,5.25,5.00,4.75,4.75,4.75,4.50,4.25,4.00,3.75,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,4.50,3.25,3.25,3.25,3.25,4.00,3.50,3.50,4.00,4.50,4.00,4.25,4.50,4.50,4.50,4.50,4.50,5.75,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.75,4.50,4.50,4.75,5.75,4.75,5.50,5.75,7.50,6.50,5.75,6.25,6.50,7.50,6.50,7.25,7.50,7.75,7.50,7.75,7.75,7.50,7.75,7.75,7.50,4.75,7.00,7.50,7.25,7.00,6.25,7.00,6.25,6.25,5.25,5.50,5.50,5.25,4.75,5.00,4.75,4.75,4.25,4.50,4.50,4.50,4.50,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,...,3.75,4.25,4.25,3.75,2.75,3.75,3.25,2.75,1.75,2.50,2.25,1.75
,Discount Rate,Percent per Annum,FID_PA,Units,36.42,36.15,36.65,37.76,37.76,38.23,39.59,39.11,39.56,45.94,45.67,46.45,44.48,43.89,42.99,44.48,45.99,44.69,44.54,45.49,46.32,47.27,46.09,45.97,44.98,40.69,36.86,36.28,34.75,32.27,29.75,28.89,32.32,32.32,34.61,33.90,34.42,33.27,33.29,33.80,33.71,33.42,33.48,32.34,31.44,31.37,31.90,32.48,33.49,32.82,32.26,32.34,32.31,33.21,35.25,36.15,37.69,37.84,39.53,42.69,44.90,42.21,39.28,41.25,42.21,41.02,42.69,41.78,41.02,37.08,37.18,36.13,37.08,40.42,36.38,36.64,40.42,40.64,39.52,40.10,40.64,40.63,39.11,39.14,39.55,37.36,35.44,35.72,35.54,35.05,31.32,33.50,32.42,32.50,31.74,30.59,30.22,30.16,29.99,29.85,30.24,31.01,31.32,31.59,32.04,34.97,37.72,38.67,43.56,43.43,41.16,42.62,43.53,43.43,42.28,40.23,37.25,32.32,29.08,26.01,24.86,26.15,25.86,25.05,25.15,24.89,23.05,19.59,17.21,17.90,18.41,18.72,19.00,19.20,19.48,17.94,17.95,18.08,18.28,18.50,18.34,18.02,17.74,17.72,17.70,17.66,17.34,14.50,14.25,13.75,13.25,12.75,12.75,12.00,11.00,10.50,10.00,10.00,10.00,10.00,10.00,10.00,10.00,11.00,11.00,11.00,11.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,11.75,11.50,11.50,11.50,11.50,11.50,11.50,11.50,11.50,11.50,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,11.00,8.50,8.50,8.75,8.75,9.25,9.25,9.50,9.75,10.00,10.25,10.25,10.75,11.00,11.25,11.25,11.25,11.25,11.50,11.50,11.50,11.75,11.75,11.75,11.75,11.75,12.00,12.00,12.00,12.00,12.00,11.50,11.50,11.00,9.00,9.00,8.00,6.50,6.50,6.50,6.50,6.00,6.00,5.50,5.50,5.50,5.50,5.50,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.25,5.50,5.75,6.25,6.25,6.50,6.50,6.50,6.50,6.75,6.75,7.00,7.25,7.25,7.25,7.25,7.25,7.00,6.75,6.75,6.75,6.50,6.25,6.00,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,6.50,5.25,5.25,5.25,5.25,5.75,5.50,6.00,5.75,6.50,6.00,6.25,6.50,6.50,6.50,6.50,6.50,7.75,6.50,6.50,6.50,6.50,6.50,6.50,6.50,6.50,6.75,6.50,6.50,6.75,7.75,6.75,7.50,7.75,9.50,8.50,7.75,8.25,8.50,9.50,8.50,9.25,9.50,9.75,9.50,9.75,9.75,9.50,9.75,9.75,9.50,6.75,9.00,9.50,9.25,9.00,8.25,9.00,8.25,8.25,7.25,7.50,7.50,7.25,6.75,7.00,6.75,6.75,6.25,6.50,6.50,6.50,6.50,6.25,6.50,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,...,5.75,6.25,6.25,5.75,4.75,5.75,5.25,4.75,3.75,4.50,4.25,3.75
,Money Market Rate,Percent per Annum,FIMM_PA,Units,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,17.35,...,...,17.35,24.72,32.86,20.43,20.88,20.96,17.76,20.88,24.25,26.55,15.73,24.68,39.24,29.85,26.74,32.27,30.55,29.74,28.64,33.58,30.16,26.25,25.57,27.27,25.85,23.82,23.83,23.14,26.11,26.80,22.36,22.59,23.22,22.62,24.29,22.68,23.80,22.91,25.41,26.38,28.94,32.30,35.85,31.80,50.79,36.39,34.20,43.57,37.57,33.35,28.81,26.98,23.05,22.14,20.72,18.92,18.84,20.96,17.63,18.14,16.05,13.36,8.96,7.48,9.57,10.05,10.22,10.56,10.90,12.12,12.41,12.38,11.23,11.26,12.31,11.63,11.38,10.79,10.89,11.13,11.33,11.20,10.37,9.41,9.36,8.99,8.62,8.15,7.73,7.61,6.60,5.89,5.36,5.27,5.31,5.27,5.27,5.19,5.07,5.96,5.59,6.12,6.18,6.99,6.29,7.32,7.36,7.39,7.40,7.40,7.38,7.44,7.41,7.41,7.49,7.46,7.34,7.09,6.95,6.97,6.87,6.88,6.90,6.88,6.99,6.99,6.79,6.43,6.43,6.35,6.33,6.40,6.39,6.39,6.39,5.97,5.72,5.62,5.80,5.85,5.97,5.95,5.90,6.20,6.40,6.60,6.59,6.73,7.04,7.25,7.40,7.55,7.78,7.96,8.05,8.49,8.85,9.03,9.25,9.25,9.22,9.20,9.36,9.40,9.49,9.66,9.65,9.67,9.68,9.83,10.02,10.00,10.02,9.94,9.34,9.03,8.98,7.70,7.02,6.03,4.88,4.46,4.22,4.34,3.97,3.84,3.29,3.31,3.35,3.37,3.49,3.02,3.03,3.03,3.03,3.04,3.02,3.03,3.03,3.02,3.05,3.36,3.56,3.82,4.13,4.30,4.58,4.56,4.61,4.61,4.80,4.77,5.04,5.25,5.25,5.27,5.30,5.35,5.10,4.78,4.77,4.71,4.49,4.20,3.96,3.70,3.15,3.19,3.16,3.20,3.27,3.27,3.27,3.26,3.24,3.85,3.22,3.24,3.25,3.16,3.51,3.30,3.44,3.81,4.16,3.92,4.13,4.42,4.53,4.50,4.50,4.59,4.69,4.52,4.53,4.52,4.50,4.52,4.52,4.52,4.52,4.55,4.54,4.52,4.58,5.19,4.84,5.17,5.57,7.10,6.07,5.78,6.09,6.33,6.95,6.50,7.02,7.32,7.67,7.47,7.77,7.76,7.72,7.76,7.75,7.65,6.11,7.38,7.51,7.46,7.19,6.58,6.99,6.49,6.26,5.51,5.73,5.53,5.26,4.98,5.25,4.96,4.74,4.35,4.57,4.71,4.51,4.48,4.31,4.43,4.23,4.26,4.26,4.26,4.26,4.25,4.25,4.26,4.25,4.25,4.26,4.26,4.25,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.27,4.26,4.26,4.26,4.26,4.26,...,4.23,4.26,4.26,4.18,3.22,3.68,3.23,2.75,2.23,2.49,2.22,1.97
,Deposit Rate,Percent per Annum,FIDR_PA,Units,34.42,34.15,34.65,35.76,35.76,36.23,37.59,37.11,37.56,37.94,37.67,38.45,35.79,35.89,34.99,36.48,37.99,36.69,36.54,37.49,38.32,39.27,38.09,37.97,36.98,32.69,28.86,28.28,26.75,24.27,22.75,21.89,25.32,27.32,27.61,26.90,27.42,26.27,26.29,26.84,26.71,26.42,26.48,25.34,24.44,24.37,24.90,25.48,26.49,25.82,25.26,25.34,25.31,26.21,28.25,29.15,30.69,30.84,32.53,35.69,37.90,33.91,32.28,34.25,35.21,34.83,35.69,34.78,34.02,29.80,30.18,29.13,30.08,30.81,29.38,29.64,33.42,33.09,32.52,33.10,33.64,33.63,32.11,32.14,32.55,30.36,28.44,28.72,28.54,28.05,24.13,26.50,25.42,25.50,24.74,23.59,23.22,23.16,22.99,22.85,23.24,24.01,24.32,24.59,25.04,27.97,30.72,31.67,36.56,36.43,34.16,35.62,36.53,36.43,35.28,33.23,30.25,25.32,22.08,19.01,17.86,19.15,18.86,18.05,18.15,17.89,16.05,12.59,10.21,10.90,11.41,11.72,12.00,12.20,12.48,12.94,12.95,13.08,13.28,13.50,13.34,13.02,12.74,12.72,12.70,12.66,12.34,11.86,11.46,11.48,11.40,11.21,10.75,10.60,10.01,9.07,8.41,7.86,7.90,7.93,7.90,7.89,7.73,7.74,7.68,7.77,7.76,7.76,7.72,7.79,7.77,7.82,7.82,7.83,7.80,7.90,7.82,7.93,7.95,7.98,7.85,7.80,7.84,7.81,7.86,7.83,7.76,7.74,7.68,7.67,7.76,7.67,7.41,7.34,7.29,7.18,7.18,7.10,6.99,6.84,6.46,6.41,6.30,6.14,6.01,5.97,5.93,5.97,6.12,6.51,6.37,6.42,6.42,6.68,6.75,6.81,6.80,7.52,7.45,7.61,8.02,8.29,8.54,8.89,8.59,8.67,8.98,9.12,9.30,9.59,9.79,9.59,9.75,9.61,9.96,9.92,10.02,10.13,10.12,9.69,8.98,8.17,7.12,6.20,5.52,5.15,5.08,4.89,4.41,4.40,4.12,4.04,4.00,3.93,3.92,3.63,3.54,3.52,3.50,3.47,3.45,3.44,3.50,3.48,3.46,3.59,3.74,3.88,4.80,4.21,4.49,4.61,4.72,5.08,5.12,5.13,5.27,5.36,5.47,5.45,5.45,5.44,5.41,5.32,5.42,5.31,5.22,5.12,4.82,4.57,4.21,3.98,3.94,3.98,4.07,4.02,4.03,4.06,3.25,4.09,3.96,4.03,3.97,3.89,3.85,3.81,3.79,3.94,4.12,4.06,4.04,4.26,4.43,4.33,4.36,4.59,4.58,4.44,4.47,4.45,4.41,4.44,4.51,4.42,4.40,4.47,4.52,4.47,4.41,4.96,4.72,4.92,5.24,6.78,6.11,5.74,6.25,6.35,6.80,6.65,6.83,6.91,7.21,7.26,7.19,7.18,7.01,7.09,7.01,6.92,5.99,6.79,6.94,6.78,6.65,6.22,6.53,6.17,5.96,5.58,5.65,5.58,5.52,5.37,5.46,5.35,5.28,4.71,5.10,5.21,5.07,5.01,4.73,4.90,4.70,4.60,4.54,4.57,4.53,4.53,4.46,4.43,4.42,4.54,4.50,4.56,4.56,4.57,4.55,4.52,4.54,4.50,4.52,4.46,4.47,4.43,4.48,4.45,4.41,4.43,4.52,...,4.50,4.54,4.46,4.50,4.20,4.55,4.29,3.76,2.84,3.34,2.79,2.39
,Lending Rate,Percent per Annum,FILR_PA,Units,43.28,42.65,42.81,43.70,43.74,44.48,45.40,45.67,45.45,46.20,45.75,45.70,45.66,46.48,45.31,45.19,46.59,46.92,45.38,45.59,46.71,47.70,47.67,47.44,46.07,44.24,40.70,40.48,39.69,38.67,34.25,32.36,33.32,33.92,34.38,33.94,34.68,34.00,35.06,34.96,35.68,35.49,35.88,34.95,35.01,35.03,35.46,35.25,36.56,35.57,35.92,36.55,37.30,38.03,39.34,40.24,41.17,41.79,42.25,44.27,45.86,43.99,43.39,44.12,44.47,44.52,44.88,46.11,42.57,39.30,38.49,39.63,39.77,40.50,38.55,39.37,43.57,43.04,42.43,43.03,43.66,44.66,42.38,42.59,41.89,40.89,39.57,38.76,38.34,38.14,33.71,37.05,35.91,35.59,34.25,33.81,33.28,33.24,32.72,32.22,31.89,31.88,32.67,33.70,34.00,36.63,39.85,39.42,49.71,43.18,40.58,46.51,46.46,45.24,43.97,41.65,37.70,35.31,32.29,28.86,26.77,27.71,26.69,26.15,24.69,23.37,21.92,18.01,16.77,17.09,16.95,17.26,19.05,19.38,19.16,20.14,20.19,20.65,20.79,21.17,21.50,21.10,21.92,21.72,21.54,20.47,21.45,21.13,20.26,18.13,18.25,17.68,17.59,17.56,16.64,17.08,16.63,16.08,15.13,15.38,15.61,15.61,14.93,14.95,14.65,15.08,15.12,15.21,14.75,15.97,14.90,15.23,15.07,15.37,15.24,15.37,15.47,15.65,14.98,14.76,15.39,15.19,15.75,15.16,14.81,14.82,14.90,15.13,15.21,14.84,15.04,14.96,15.18,15.05,15.17,14.72,14.50,15.06,14.72,14.61,13.67,13.80,13.29,13.36,13.55,13.56,12.94,12.35,12.09,12.31,12.84,13.12,12.69,12.88,13.04,12.93,13.40,13.92,14.52,14.83,15.33,16.17,16.42,16.84,16.79,16.82,16.61,16.62,16.60,16.93,17.61,16.91,17.08,17.09,17.30,17.38,17.08,17.77,17.72,17.25,16.63,15.78,14.53,13.11,12.48,11.93,11.59,11.49,11.09,10.30,9.92,9.91,9.94,9.82,9.86,9.34,9.26,9.38,9.23,9.18,9.19,8.78,8.69,10.02,10.26,10.64,10.73,10.96,11.31,11.32,11.74,11.79,11.95,11.93,11.98,12.75,12.85,13.07,12.83,12.98,12.60,12.47,13.04,12.29,12.45,12.06,11.64,12.08,11.72,11.43,10.88,10.49,10.27,11.09,10.76,11.17,11.00,10.97,9.96,10.87,10.76,11.06,10.64,10.58,10.53,10.57,10.61,10.41,11.30,11.39,11.15,11.34,10.89,11.14,10.97,10.55,11.45,11.39,11.71,11.13,11.33,11.15,10.95,11.51,10.98,11.24,11.64,10.84,11.23,12.03,11.61,12.15,12.33,14.65,13.39,12.93,13.33,13.91,14.78,14.77,14.82,14.77,15.28,15.28,15.23,15.34,15.13,15.41,15.52,14.45,13.69,15.04,15.11,14.87,15.13,13.99,14.47,14.02,13.50,13.18,13.58,13.27,12.69,12.53,13.05,12.87,11.66,12.11,12.10,12.53,12.06,11.72,12.31,12.21,12.37,12.35,12.36,12.33,12.49,12.25,11.69,11.98,11.96,11.13,11.77,12.22,12.69,11.93,12.05,11.87,11.89,12.26,11.47,11.81,12.28,11.64,11.52,11.16,11.54,11.24,10.71,...,11.05,11.72,11.18,10.26,9.79,9.32,10.02,10.03,9.60,9.96,9.51,9.34